timestamp,open,high,low,close,volume
1751015027454,107027.12692834092,107027.12692834092,107027.12692834092,107027.12692834092,23862853197.910175
1751018637666,107130.3068565861,107130.3068565861,107130.3068565861,107130.3068565861,23909593988.162754
1751022202200,107049.17622102854,107049.17622102854,107049.17622102854,107049.17622102854,24034882270.016907
1751025826414,107003.10321638786,107003.10321638786,107003.10321638786,107003.10321638786,23693770495.30489
1751029419952,106741.87577327908,106741.87577327908,106741.87577327908,106741.87577327908,23912475353.50693
1751032999394,106767.2642469428,106767.2642469428,106767.2642469428,106767.2642469428,23725878837.66157
1751036617634,106556.4445160221,106556.4445160221,106556.4445160221,106556.4445160221,25063703913.927208
1751040041955,107366.60721071716,107366.60721071716,107366.60721071716,107366.60721071716,24313367142.12338
1751043808910,107495.80669083506,107495.80669083506,107495.80669083506,107495.80669083506,25539837447.607513
1751047407562,106841.59213824532,106841.59213824532,106841.59213824532,106841.59213824532,26072670495.32441
1751051030368,106679.09756139174,106679.09756139174,106679.09756139174,106679.09756139174,26294996599.568928
1751054627924,106949.52086118977,106949.52086118977,106949.52086118977,106949.52086118977,26582055416.19661
1751058229602,107135.87261926538,107135.87261926538,107135.87261926538,107135.87261926538,26142275721.125393
1751061829879,107149.38708853218,107149.38708853218,107149.38708853218,107149.38708853218,25682628412.37108
1751065428805,107156.18568224067,107156.18568224067,107156.18568224067,107156.18568224067,25422820115.84683
1751069030141,107085.40176203007,107085.40176203007,107085.40176203007,107085.40176203007,25181201396.746006
1751072621097,107152.71450867108,107152.71450867108,107152.71450867108,107152.71450867108,25026009527.886475
1751076224012,107117.36696481497,107117.36696481497,107117.36696481497,107117.36696481497,24440015461.17928
1751079804592,107150.95240384352,107150.95240384352,107150.95240384352,107150.95240384352,23927250923.79987
1751083512857,107331.29254853088,107331.29254853088,107331.29254853088,107331.29254853088,23795855644.493954
1751086897226,107229.38223545607,107229.38223545607,107229.38223545607,107229.38223545607,23427465211.719593
1751090621503,107320.76533639495,107320.76533639495,107320.76533639495,107320.76533639495,23152138111.790478
1751094018911,107453.42143439509,107453.42143439509,107453.42143439509,107453.42143439509,22993059122.513622
1751097826167,107495.45299018858,107495.45299018858,107495.45299018858,107495.45299018858,21658410190.781006
1751101420701,107401.27051892398,107401.27051892398,107401.27051892398,107401.27051892398,18835503206.33909
1751105023601,107336.03719126417,107336.03719126417,107336.03719126417,107336.03719126417,19026102600.453266
1751108624566,107295.35233433257,107295.35233433257,107295.35233433257,107295.35233433257,18757144229.89649
1751112230831,107375.74341361446,107375.74341361446,107375.74341361446,107375.74341361446,18424763682.423615
1751115786948,107372.59368150422,107372.59368150422,107372.59368150422,107372.59368150422,17834153583.68526
1751119396270,107140.5670375992,107140.5670375992,107140.5670375992,107140.5670375992,16889014985.268408
1751122847356,107232.89447449357,107232.89447449357,107232.89447449357,107232.89447449357,14218832873.309853
1751126441249,107409.53503189738,107409.53503189738,107409.53503189738,107409.53503189738,13457140635.959322
1751130224780,107323.8356892328,107323.8356892328,107323.8356892328,107323.8356892328,12373398006.099634
1751133826102,107502.14419754063,107502.14419754063,107502.14419754063,107502.14419754063,11403591370.121954
1751137420051,107337.697127387,107337.697127387,107337.697127387,107337.697127387,10740089906.119497
1751140838013,107283.91255515181,107283.91255515181,107283.91255515181,107283.91255515181,10084689168.874166
1751144614167,107229.7594432305,107229.7594432305,107229.7594432305,107229.7594432305,9542209367.357147
1751148130390,107339.03777628932,107339.03777628932,107339.03777628932,107339.03777628932,9233679627.229074
1751151829411,107390.13005838435,107390.13005838435,107390.13005838435,107390.13005838435,9154737161.080002
1751155399140,107332.7847029182,107332.7847029182,107332.7847029182,107332.7847029182,8993018871.968931
1751159026358,107508.29410024956,107508.29410024956,107508.29410024956,107508.29410024956,8891418673.419981
1751162611901,107353.201484795,107353.201484795,107353.201484795,107353.201484795,8830543028.787014
1751166211192,107331.58157443936,107331.58157443936,107331.58157443936,107331.58157443936,8776569473.725721
1751169827601,107238.96623676884,107238.96623676884,107238.96623676884,107238.96623676884,8514578574.849002
1751173418871,107292.18251738555,107292.18251738555,107292.18251738555,107292.18251738555,8509100600.760432
1751177019090,107332.0447469001,107332.0447469001,107332.0447469001,107332.0447469001,8397142403.103813
1751180577182,107388.27889818331,107388.27889818331,107388.27889818331,107388.27889818331,8368257712.615421
1751184217793,107383.57994478382,107383.57994478382,107383.57994478382,107383.57994478382,8163551292.585773
1751186855000,107698.09998569387,107698.09998569387,107698.09998569387,107698.09998569387,7390970573.529994
1751122840546,107232.89447449357,107232.89447449357,107232.89447449357,107232.89447449357,14218832873.309853
1751123154201,107240.24612960222,107240.24612960222,107240.24612960222,107240.24612960222,14074664815.603409
1751123478233,107249.85233367793,107249.85233367793,107249.85233367793,107249.85233367793,14003947919.365213
1751123751238,107257.54896931628,107257.54896931628,107257.54896931628,107257.54896931628,13913656146.364538
1751124108782,107247.12273445258,107247.12273445258,107247.12273445258,107247.12273445258,13778797544.59923
1751124321238,107240.49128973264,107240.49128973264,107240.49128973264,107240.49128973264,13820495525.788734
